IID pT_0.1 pT_0.2 pT_0.3 pT_0.4 pT_0.5 pT_0.6 pT_0.7 pT_0.8 pT_0.9 pT_1 pT_1.1
GSP_Buckner_HU_00001 0.0000915755 0.000059535 0.0000463929 0.0000375772 0.0000322677 0.0000266172 0.0000246406 0.0000216018 0.0000193005 0.0000177371 0.0000177371
GSP_Buckner_HU_00004 0.000107307 0.0000779454 0.0000613973 0.0000496313 0.0000425495 0.0000358207 0.0000327935 0.0000292748 0.000026214 0.0000240749 0.0000240749
GSP_Buckner_HU_00005 0.000123165 0.0000833593 0.0000616198 0.0000505873 0.0000439798 0.0000369089 0.0000333664 0.0000295678 0.0000264856 0.0000243087 0.0000243087
GSP_Buckner_HU_00006 0.000121119 0.0000826267 0.0000633974 0.0000520309 0.0000452696 0.000038289 0.0000348705 0.0000311053 0.0000281963 0.0000258471 0.0000258471
GSP_Buckner_HU_00007 0.0000896904 0.0000622037 0.000047696 0.0000389136 0.0000323017 0.0000268908 0.0000249986 0.0000221515 0.0000200045 0.0000184012 0.0000184012
GSP_Buckner_HU_00009 0.0000944829 0.000060182 0.0000456275 0.0000354416 0.0000289108 0.0000235419 0.0000211882 0.0000184745 0.0000164426 0.0000151173 0.0000151173
GSP_Buckner_HU_00012 0.0000648792 0.0000425777 0.0000314897 0.0000266453 0.0000229864 0.0000180618 0.0000167488 0.0000143893 0.0000128289 0.0000118027 0.0000118027
GSP_Buckner_HU_00016 0.000136664 0.0000846383 0.0000651709 0.0000525557 0.0000442439 0.0000361439 0.0000326429 0.0000286724 0.0000257937 0.0000236888 0.0000236888
GSP_Buckner_HU_00021 0.0000701985 0.0000499805 0.000037663 0.0000310913 0.0000265992 0.0000211378 0.0000193959 0.0000171703 0.0000152561 0.0000140291 0.0000140291
GSP_Buckner_HU_00022 0.0000840672 0.0000509843 0.0000369354 0.000029112 0.0000252664 0.0000205734 0.0000190391 0.0000170044 0.0000151943 0.0000140055 0.0000140055
GSP_Buckner_HU_00023 0.000115296 0.0000764979 0.0000604118 0.0000508862 0.0000447521 0.0000384901 0.0000351412 0.0000313507 0.0000283469 0.0000260507 0.0000260507
GSP_Buckner_HU_00024 0.0000591578 0.0000407848 0.0000311374 0.0000249753 0.0000216704 0.0000174404 0.0000162492 0.0000141058 0.0000126715 0.0000116532 0.0000116532
GSP_Buckner_HU_00025 0.0000878624 0.0000587561 0.0000462606 0.0000379197 0.0000334953 0.000027689 0.0000252411 0.0000221828 0.0000199719 0.0000183649 0.0000183649
GSP_Buckner_HU_00026 0.0000814737 0.0000538972 0.0000398724 0.000030832 0.0000276287 0.000022832 0.0000212805 0.0000190679 0.000017033 0.0000156829 0.0000156829
GSP_Buckner_HU_00027 0.0000846064 0.000060482 0.0000500003 0.0000429575 0.0000372832 0.0000313586 0.0000282728 0.000025476 0.0000229153 0.0000210411 0.0000210411
GSP_Buckner_HU_00028 0.0000881286 0.0000597757 0.0000469885 0.0000391225 0.0000324216 0.0000268107 0.0000247001 0.0000219714 0.0000196978 0.0000181133 0.0000181133
GSP_Buckner_HU_00029 0.0000872828 0.0000603416 0.0000463137 0.000037181 0.0000318348 0.0000257656 0.0000234839 0.0000208335 0.0000188895 0.0000173823 0.0000173823
GSP_Buckner_HU_00030 0.0000922983 0.0000612677 0.0000458354 0.0000374278 0.0000317987 0.0000260074 0.0000235974 0.000020897 0.0000187699 0.0000172608 0.0000172608
