IID pT_0.1 pT_0.2 pT_0.3 pT_0.4 pT_0.5 pT_0.6 pT_0.7 pT_0.8 pT_0.9 pT_1 pT_1.1
GSP_Buckner_HU_00001 -0.000141973 -0.0000979085 -0.0000787509 -0.0000766446 -0.0000672476 -0.0000597315 -0.0000534944 -0.0000486334 -0.0000440692 -0.0000399523 -0.0000399523
GSP_Buckner_HU_00004 -0.000188011 -0.000135867 -0.000105511 -0.0000965359 -0.0000832629 -0.0000731061 -0.000065098 -0.0000590239 -0.0000532578 -0.0000481417 -0.0000481417
GSP_Buckner_HU_00005 -0.0000832516 -0.0000650658 -0.0000568083 -0.0000579405 -0.0000524854 -0.0000464037 -0.0000415593 -0.0000386324 -0.0000348807 -0.0000315928 -0.0000315928
GSP_Buckner_HU_00006 -0.000204818 -0.000130273 -0.000100551 -0.0000897116 -0.000079549 -0.0000709578 -0.0000630058 -0.0000576922 -0.000052232 -0.0000473351 -0.0000473351
GSP_Buckner_HU_00007 -0.000191153 -0.000130426 -0.000106218 -0.0000970516 -0.0000857218 -0.0000769207 -0.0000685302 -0.0000626308 -0.0000564998 -0.0000510732 -0.0000510732
GSP_Buckner_HU_00009 -0.000135185 -0.0000998381 -0.0000838569 -0.0000786206 -0.0000696195 -0.0000614051 -0.0000547483 -0.0000502333 -0.0000454049 -0.0000411543 -0.0000411543
GSP_Buckner_HU_00012 -0.000131449 -0.000100026 -0.0000780807 -0.0000729413 -0.0000644831 -0.000056757 -0.0000502464 -0.0000463661 -0.0000419795 -0.0000380025 -0.0000380025
GSP_Buckner_HU_00016 -0.000215963 -0.00015574 -0.000127562 -0.000114199 -0.000100179 -0.0000883416 -0.0000784625 -0.0000711451 -0.0000639518 -0.0000578836 -0.0000578836
GSP_Buckner_HU_00021 -0.000129608 -0.000094258 -0.0000802389 -0.0000736746 -0.0000645254 -0.000057734 -0.0000507716 -0.0000464749 -0.0000421635 -0.0000381957 -0.0000381957
GSP_Buckner_HU_00022 -0.000157519 -0.000114397 -0.000092251 -0.0000824777 -0.0000719818 -0.000065211 -0.0000572077 -0.0000519874 -0.0000468038 -0.0000424608 -0.0000424608
GSP_Buckner_HU_00023 -0.0000586006 -0.0000528587 -0.00005078 -0.0000507789 -0.0000445156 -0.0000398243 -0.0000361567 -0.0000337901 -0.000030653 -0.0000278317 -0.0000278317
GSP_Buckner_HU_00024 -0.000117492 -0.000080502 -0.0000624947 -0.000059691 -0.0000522017 -0.0000478858 -0.0000430511 -0.0000391621 -0.0000353556 -0.0000320547 -0.0000320547
GSP_Buckner_HU_00025 -0.0000554246 -0.0000417868 -0.0000380662 -0.0000422311 -0.0000388464 -0.0000368354 -0.0000338263 -0.0000318639 -0.0000290485 -0.000026446 -0.000026446
GSP_Buckner_HU_00026 -0.000163414 -0.000106441 -0.0000882526 -0.0000876967 -0.000077812 -0.0000695598 -0.0000617081 -0.0000562492 -0.0000508974 -0.000046093 -0.000046093
GSP_Buckner_HU_00027 -0.000136952 -0.0000951453 -0.0000778653 -0.0000736912 -0.0000634065 -0.0000558198 -0.0000497268 -0.0000456892 -0.0000412829 -0.0000373731 -0.0000373731
GSP_Buckner_HU_00028 -0.000145845 -0.0000953457 -0.0000783567 -0.0000738261 -0.0000673272 -0.0000611559 -0.0000557237 -0.0000510012 -0.000046088 -0.0000417657 -0.0000417657
GSP_Buckner_HU_00029 -0.000211333 -0.000142811 -0.000109414 -0.0000974152 -0.0000843525 -0.0000740685 -0.0000659684 -0.000059731 -0.0000537128 -0.000048492 -0.000048492
GSP_Buckner_HU_00030 -0.00019219 -0.000129145 -0.000102046 -0.0000924846 -0.0000808722 -0.0000711558 -0.0000624202 -0.0000568005 -0.0000510857 -0.0000462971 -0.0000462971
GSP_Buckner_HU_00035 -0.000123586 -0.0000883518 -0.0000744284 -0.0000706412 -0.0000632597 -0.0000557567 -0.0000504418 -0.0000465153 -0.0000420599 -0.0000380895 -0.0000380895
GSP_Buckner_HU_00037 -0.000142949 -0.000103244 -0.0000801997 -0.0000763006 -0.0000651919 -0.0000574295 -0.0000508757 -0.0000470933 -0.0000426907 -0.0000387278 -0.0000387278
GSP_Buckner_HU_00038 -0.000051056 -0.0000369556 -0.0000297566 -0.0000349521 -0.0000332102 -0.0000316069 -0.0000288524 -0.0000270307 -0.000024698 -0.0000225088 -0.0000225088
GSP_Buckner_HU_00041 -0.000144588 -0.000108928 -0.0000880733 -0.000081531 -0.0000735243 -0.0000648925 -0.0000572626 -0.0000521953 -0.0000469749 -0.0000426032 -0.0000426032
GSP_Buckner_HU_00042 -0.000178562 -0.000113188 -0.0000840379 -0.0000762063 -0.0000669995 -0.0000590501 -0.0000520681 -0.0000469048 -0.0000423976 -0.0000384594 -0.0000384594
GSP_Buckner_HU_00043 -0.000128854 -0.0000762909 -0.0000618217 -0.0000626306 -0.0000553188 -0.0000495595 -0.0000445227 -0.000040874 -0.0000368151 -0.0000333611 -0.0000333611
GSP_Buckner_HU_00044 -0.000161268 -0.000101918 -0.0000817917 -0.0000764864 -0.0000684672 -0.0000611909 -0.0000547565 -0.0000497194 -0.0000447169 -0.0000405665 -0.0000405665
GSP_Buckner_HU_00046 -0.000267028 -0.000175122 -0.000135422 -0.000117061 -0.0000992262 -0.0000869342 -0.0000763298 -0.000069004 -0.0000621645 -0.0000562199 -0.0000562199
GSP_Buckner_HU_00047 -0.000118993 -0.000085036 -0.0000679358 -0.0000623274 -0.0000532727 -0.0000482612 -0.0000427341 -0.0000392282 -0.0000356134 -0.0000323003 -0.0000323003
GSP_Buckner_HU_00048 -0.000171825 -0.000118427 -0.0000911398 -0.0000843236 -0.0000726064 -0.000064434 -0.0000573411 -0.0000524935 -0.0000472029 -0.0000427244 -0.0000427244
GSP_Buckner_HU_00049 -0.00012858 -0.0000887685 -0.0000742006 -0.0000710927 -0.0000641996 -0.0000553169 -0.0000497325 -0.0000452357 -0.000041037 -0.0000371777 -0.0000371777
GSP_Buckner_HU_00053 -0.000195379 -0.000130127 -0.000100615 -0.0000895168 -0.0000769482 -0.0000663198 -0.0000588935 -0.0000536279 -0.0000483145 -0.0000437506 -0.0000437506
GSP_Buckner_HU_00060 -0.000137207 -0.000089363 -0.0000690458 -0.0000627459 -0.0000557903 -0.0000501955 -0.000044015 -0.0000406453 -0.0000368304 -0.0000333159 -0.0000333159
GSP_Buckner_HU_00061 -0.00019058 -0.000129334 -0.000103086 -0.0000940676 -0.0000821776 -0.0000721054 -0.0000642742 -0.0000586811 -0.0000529722 -0.0000479551 -0.0000479551
GSP_Buckner_HU_00063 -0.000133711 -0.000106447 -0.0000848559 -0.0000772498 -0.0000688223 -0.000060757 -0.0000540419 -0.0000499916 -0.0000450846 -0.0000408544 -0.0000408544
GSP_Buckner_HU_00065 -0.000104134 -0.0000704457 -0.0000557309 -0.000052257 -0.00004545 -0.0000415664 -0.0000370523 -0.000034554 -0.000031262 -0.0000284113 -0.0000284113
GSP_Buckner_HU_00067 -0.000137776 -0.0000869936 -0.0000728802 -0.0000716001 -0.0000654307 -0.0000594458 -0.0000522227 -0.0000478788 -0.0000433698 -0.0000392642 -0.0000392642
GSP_Buckner_HU_00068 -0.000150518 -0.00010825 -0.0000862461 -0.000080937 -0.0000716101 -0.000063534 -0.0000565465 -0.0000513907 -0.0000462196 -0.0000418082 -0.0000418082
GSP_Buckner_HU_00070 -0.000104979 -0.0000729476 -0.000065437 -0.000064727 -0.0000591736 -0.0000528508 -0.0000475602 -0.0000437597 -0.0000397554 -0.0000360402 -0.0000360402
GSP_Buckner_HU_00072 -0.000131447 -0.0000996895 -0.0000823977 -0.0000785384 -0.0000701718 -0.0000627521 -0.000056965 -0.0000519151 -0.0000471707 -0.0000427068 -0.0000427068
GSP_Buckner_HU_00077 -0.000161473 -0.000101679 -0.0000798063 -0.0000732981 -0.0000630561 -0.0000569298 -0.0000503496 -0.0000461242 -0.0000412812 -0.0000373619 -0.0000373619
GSP_Buckner_HU_00082 -0.000130405 -0.0000876907 -0.0000725992 -0.0000688231 -0.0000594336 -0.0000531778 -0.0000474291 -0.000043855 -0.00003974 -0.0000360254 -0.0000360254
