IID pT_0.1 pT_0.2 pT_0.3 pT_0.4 pT_0.5 pT_0.6 pT_0.7 pT_0.8 pT_0.9 pT_1 pT_1.1
GSP_Buckner_HU_00001 0.000468126 0.000390914 0.000341609 0.000304297 0.000274764 0.000250201 0.000228388 0.0002099 0.000193755 0.000180656 0.000180656
GSP_Buckner_HU_00004 0.000483836 0.0004105 0.000360655 0.000318826 0.000286975 0.00026117 0.000238408 0.000218984 0.000201943 0.000188263 0.000188263
GSP_Buckner_HU_00005 0.000344155 0.000285253 0.000254994 0.000227407 0.000205852 0.000188346 0.000172549 0.000158598 0.000146387 0.000136463 0.000136463
GSP_Buckner_HU_00006 0.000469497 0.000397693 0.000351832 0.0003126 0.000281574 0.000256583 0.000234248 0.000215366 0.0001988 0.000185408 0.000185408
GSP_Buckner_HU_00007 0.000300773 0.000273781 0.000249214 0.000222355 0.000201349 0.000184477 0.000168846 0.000155583 0.000143624 0.000133867 0.000133867
GSP_Buckner_HU_00009 0.000411714 0.00035338 0.000316825 0.000282285 0.000254685 0.000232548 0.000212783 0.000195974 0.000180871 0.000168624 0.000168624
GSP_Buckner_HU_00012 0.000480088 0.00040947 0.000360404 0.00031926 0.000287584 0.000262307 0.00023986 0.000220592 0.000203463 0.000189689 0.000189689
GSP_Buckner_HU_00016 0.000548046 0.000454553 0.000396145 0.000348944 0.000315095 0.000286864 0.000261484 0.000240497 0.000221782 0.000206725 0.000206725
GSP_Buckner_HU_00021 0.000416174 0.000353867 0.000314976 0.000280371 0.000253169 0.000230533 0.000210543 0.000193517 0.00017847 0.000166358 0.000166358
GSP_Buckner_HU_00022 0.000395487 0.000345942 0.000311583 0.000277228 0.000252217 0.000230802 0.000210916 0.000194081 0.000179169 0.000166999 0.000166999
GSP_Buckner_HU_00023 0.000351527 0.000307117 0.000271969 0.000241685 0.000219839 0.000200629 0.000183528 0.000169056 0.000155974 0.000145423 0.000145423
GSP_Buckner_HU_00024 0.000380977 0.000327367 0.000290159 0.000257507 0.000232454 0.000212275 0.000194437 0.00017895 0.000165118 0.000154006 0.000154006
GSP_Buckner_HU_00025 0.000341108 0.000292568 0.000260568 0.000231573 0.000210342 0.000192219 0.000175565 0.000161654 0.000149204 0.000139073 0.000139073
GSP_Buckner_HU_00026 0.000439524 0.00037508 0.000330864 0.000295286 0.000267234 0.000244659 0.00022326 0.000205325 0.00018955 0.000176718 0.000176718
GSP_Buckner_HU_00027 0.000483217 0.000413332 0.000362536 0.00032077 0.000288611 0.000263189 0.000240199 0.000220922 0.000203753 0.000189973 0.000189973
GSP_Buckner_HU_00028 0.000493469 0.000415275 0.000366438 0.000325509 0.000293862 0.000267237 0.000243869 0.000223996 0.000206734 0.00019272 0.00019272
GSP_Buckner_HU_00029 0.000519549 0.000432368 0.000378519 0.000336044 0.00030269 0.000275322 0.000251407 0.000230836 0.000213126 0.000198721 0.000198721
GSP_Buckner_HU_00030 0.0004038 0.000347687 0.000310076 0.000276984 0.000251973 0.00023007 0.000210992 0.000194358 0.000179415 0.000167337 0.000167337
GSP_Buckner_HU_00035 0.000299141 0.000259028 0.000229335 0.000204214 0.000183986 0.000167882 0.000153473 0.000140908 0.000129851 0.000121129 0.000121129
GSP_Buckner_HU_00037 0.000446704 0.000376712 0.000333587 0.000295639 0.000266875 0.000242431 0.000221404 0.000203515 0.00018786 0.000175095 0.000175095
