check.me,FS_4.5_diff,GM_outlier,ICV_outlier,noFS_4.5,Ventricles_outlier,WM_outlier
081121_TG33QB,0,0,0,0,0,1
081213_MR32XB,0,0,1,0,0,0
081213_NK66TK,0,0,0,0,1,0
090106_WJ52FK,0,0,0,0,0,1
090122_GQ43TK,0,0,1,0,0,0
090202_NP66VK,0,0,0,0,1,0
090207_BJ47EB,0,1,0,0,0,1
090214_HS87KB,0,0,0,0,1,0
090214_VQ69QK,0,0,0,0,0,1
090226_QR36KK,0,0,1,0,0,0
090409_SQ96JK,0,0,0,0,0,1
090427_DW86AB,0,0,0,0,1,0
090427_VQ28GK,0,0,1,0,0,0
090514_HW24BB,0,0,0,0,1,0
090519_BS33KK,0,0,1,0,0,0
090529_BC63AU,0,0,1,0,0,0
090529_PE68YB,1,1,0,0,0,1
090611_RK74KK,0,0,1,0,0,0
090618_WJ66MH,1,1,1,0,0,0
090622_GS58UB,0,1,0,0,0,0
090702_DQ45CH,0,1,0,0,1,0
090702_EB53KU,0,0,1,0,0,0
090706_JW54JH,1,0,0,0,0,0
090708_BJ38PU,0,0,0,0,1,0
090716_RK56EB,0,0,0,0,1,0
090717_CG66MK,1,0,1,0,0,1
090720_BN53PU,0,0,1,0,0,0
090720_UT93XH,0,0,1,0,0,0
090722_JX68DB,0,0,0,0,1,0
090728_TH33RK,0,1,0,0,0,0
090801_KN43WB,0,0,0,0,1,0
090805_YF49FH,1,0,0,0,0,1
090806_ZB57PU,0,0,1,0,0,0
090811_CX52PK,0,0,0,0,1,0
090817_GU35RH,0,0,1,0,0,0
090820_XK47PU,0,0,0,0,1,0
090826_HJ59TH,0,0,1,0,0,0
090827_YF76KK,1,1,0,0,0,1
090901_UP56FB,0,0,0,0,1,0
090902_TY34QU,0,0,0,0,0,1
090903_RG83SH,0,0,1,0,0,0
090903_SX77FK,0,0,0,0,0,1
090917_NK77EB,0,1,0,0,1,0
090920_SK27CH,0,0,1,0,0,0
090920_XV47PU,0,0,1,0,0,0
090924_NG43YB,0,0,0,0,1,0
091001_ZH42HK,0,0,0,0,0,1
091006_BN54KB,0,1,0,0,0,0
091013_DC77AH,1,1,1,0,0,1
091014_GN37EU,1,0,1,0,0,0
091014_NR53FU,0,1,0,0,0,0
091015_CF78VB,0,1,0,0,0,0
091019_RK95QK,0,0,0,0,0,1
091025_JX82VU,0,0,0,0,0,1
091025_VQ44MH,0,0,0,0,1,0
