Subject,PASS,,,
081030_NC89WB,TRUE,,,
081101_HG45HB,TRUE,,,
081101_XC45YB,TRUE,,,
081104_CK37CB,TRUE,,,
081108_CH36DK,TRUE,,,
081108_KY89TK,TRUE,,,
081115_FM95TK,TRUE,,,
081115_JH43QK,TRUE,,,
081115_VF58TB,TRUE,,,
081118_AY63CB,TRUE,,,
081118_EK52XB,TRUE,,,
081118_RF83XB,TRUE,,,
081121_RK89NK,TRUE,,,
081121_TG33QB,TRUE,,,
081122_HP38DB,TRUE,,,
081122_MZ77VK,TRUE,,,
081122_PX56VB,TRUE,,,
081125_SQ28TK,TRUE,,,
081129_RK87JK,TRUE,,,
081202_UC93MK,TRUE,,,
081202_US23QB,TRUE,,,
081202_XZ77XK,TRUE,,,
081213_HT32EB,TRUE,,,
081213_MQ68JB,TRUE,,,
081213_MR32XB,TRUE,,,
081213_NK66TK,TRUE,,,
081216_NN63XK,TRUE,,,
081216_NR28PK,TRUE,,,
081216_RR36KB,TRUE,,,
081216_VY37FB,TRUE,,,
081220_JS29GB,TRUE,,,
081220_PJ82PK,TRUE,,,
081220_VW86TK,TRUE,,,
090106_PM46WK,TRUE,,,
090106_WJ52FK,TRUE,,,
090106_YP53JB,TRUE,,,
090110_FZ45CK,TRUE,,,
090110_MG55BK,TRUE,,,
090110_RS88CK,TRUE,,,
090113_WZ87JB,TRUE,,,
090117_ER76FK,TRUE,,,
090117_KN26UB,TRUE,,,
090117_XF93NK,TRUE,,,
090119_MM58XK,TRUE,,,
090120_CV34VB,TRUE,,,
090120_GS93ZB,TRUE,,,
090120_MJ47WK,TRUE,,,
090121_KZ86JK,TRUE,,,
090122_GQ43TK,TRUE,,,
090124_FE88KB,TRUE,,,
090127_DZ57BB,TRUE,,,
090127_QC87KK,TRUE,,,
090128_HN36DK,TRUE,,,
090128_HW95JK,TRUE,,,
090128_KR88BB,TRUE,,,
090131_BD54CK,TRUE,,,
090131_GY94BB,TRUE,,,
090131_NM93WB,TRUE,,,
090131_QP96UK,TRUE,,,
090201_YF96RB,TRUE,,,
090204_JG47PK,TRUE,,,
090207_BJ47EB,TRUE,,,
090207_WV34VK,TRUE,,,
090207_XP75BB,TRUE,,,
090207_ZG54XB,TRUE,,,
090210_CF43BK,TRUE,,,
090211_HR89FK,TRUE,,,
090211_SZ63GK,TRUE,,,
090214_CA84XB,TRUE,,,
090214_HS87KB,TRUE,,,
090214_NN86RB,TRUE,,,
090214_TE76SB,TRUE,,,
